Date,EURO_Price
10-01-12,"2,503.64"
09-01-12,"2,454.26"
08-01-12,"2,440.71"
07-01-12,"2,325.72"
06-01-12,"2,264.72"
05-01-12,"2,118.94"
04-01-12,"2,306.43"
03-01-12,"2,477.28"
02-01-12,"2,512.11"
01-01-12,"2,416.66"
12-01-11,"2,316.55"
11-01-11,"2,330.43"
10-01-11,"2,385.22"
09-01-11,"2,179.66"
08-01-11,"2,302.08"
07-01-11,"2,670.37"
06-01-11,"2,848.53"
05-01-11,"2,861.92"
04-01-11,"3,011.25"
03-01-11,"2,910.91"
02-01-11,"3,013.09"
01-01-11,"2,953.63"
12-01-10,"2,792.82"
11-01-10,"2,650.99"
10-01-10,"2,844.99"
09-01-10,"2,747.90"
08-01-10,"2,622.95"
07-01-10,"2,742.14"
06-01-10,"2,573.32"
05-01-10,"2,610.26"
04-01-10,"2,816.86"
03-01-10,"2,931.16"
02-01-10,"2,728.47"
01-01-10,"2,776.83"
12-01-09,"2,966.24"
11-01-09,"2,797.25"
10-01-09,"2,743.50"
09-01-09,"2,872.63"
08-01-09,"2,775.17"
07-01-09,"2,638.13"
06-01-09,"2,401.69"
05-01-09,"2,451.24"
04-01-09,"2,375.34"
03-01-09,"2,071.13"
02-01-09,"1,976.23"
01-01-09,"2,236.98"
12-01-08,"2,451.48"
11-01-08,"2,430.31"
10-01-08,"2,591.76"
09-01-08,"3,038.20"
08-01-08,"3,365.63"
07-01-08,"3,367.82"
06-01-08,"3,352.81"
05-01-08,"3,777.85"
04-01-08,"3,825.02"
03-01-08,"3,628.06"
02-01-08,"3,724.50"
01-01-08,"3,792.80"
12-01-07,"4,399.72"
11-01-07,"4,394.95"
10-01-07,"4,489.79"
09-01-07,"4,381.71"
08-01-07,"4,294.56"
07-01-07,"4,315.69"
06-01-07,"4,489.77"
05-01-07,"4,512.65"
04-01-07,"4,392.34"
03-01-07,"4,181.03"
02-01-07,"4,087.12"
01-01-07,"4,178.54"
12-01-06,"4,119.94"
11-01-06,"3,987.23"
10-01-06,"4,004.80"
09-01-06,"3,899.41"
08-01-06,"3,808.70"
07-01-06,"3,691.87"
06-01-06,"3,648.92"
05-01-06,"3,637.17"
04-01-06,"3,839.90"
03-01-06,"3,853.74"
02-01-06,"3,774.51"
01-01-06,"3,691.41"
12-01-05,"3,578.93"
11-01-05,"3,447.07"
10-01-05,"3,320.15"
09-01-05,"3,428.51"
08-01-05,"3,263.78"
07-01-05,"3,326.51"
06-01-05,"3,181.54"
05-01-05,"3,076.70"
04-01-05,"2,930.10"
03-01-05,"3,055.73"
02-01-05,"3,058.32"
01-01-05,"2,984.59"
12-01-04,"2,951.24"
11-01-04,"2,876.39"
