Date,SNP500_Price_USD
12-01-11,"1,257.60"
11-01-11,"1,247.00"
10-01-11,"1,253.30"
09-01-11,"1,131.40"
08-01-11,"1,218.90"
07-01-11,"1,292.30"
06-01-11,"1,320.60"
05-01-11,"1,345.20"
04-01-11,"1,363.60"
03-01-11,"1,325.80"
02-01-11,"1,327.20"
01-01-11,"1,286.10"
12-01-10,"1,257.60"
11-01-10,"1,180.50"
10-01-10,"1,183.30"
09-01-10,"1,141.20"
08-01-10,"1,049.30"
07-01-10,"1,101.60"
06-01-10,"1,030.70"
05-01-10,"1,089.40"
04-01-10,"1,186.70"
03-01-10,"1,169.40"
02-01-10,"1,104.50"
01-01-10,"1,073.90"
12-01-09,"1,115.10"
11-01-09,"1,095.60"
10-01-09,"1,036.20"
09-01-09,"1,057.10"
08-01-09,"1,020.60"
07-01-09,987.5
06-01-09,919.3
05-01-09,919.1
04-01-09,872.8
03-01-09,797.9
02-01-09,735.1
01-01-09,825.9
12-01-08,903.2
11-01-08,896.2
10-01-08,968.8
09-01-08,"1,166.40"
08-01-08,"1,282.80"
07-01-08,"1,267.40"
06-01-08,"1,280.00"
05-01-08,"1,400.40"
04-01-08,"1,385.60"
03-01-08,"1,322.70"
02-01-08,"1,330.60"
01-01-08,"1,378.50"
12-01-07,"1,468.40"
11-01-07,"1,481.10"
10-01-07,"1,549.40"
09-01-07,"1,526.80"
08-01-07,"1,474.00"
07-01-07,"1,455.30"
06-01-07,"1,503.30"
05-01-07,"1,530.60"
04-01-07,"1,482.40"
03-01-07,"1,420.90"
02-01-07,"1,406.80"
01-01-07,"1,438.20"
12-01-06,"1,418.30"
11-01-06,"1,400.60"
10-01-06,"1,377.90"
09-01-06,"1,335.80"
08-01-06,"1,303.80"
07-01-06,"1,276.70"
06-01-06,"1,270.20"
05-01-06,"1,270.10"
04-01-06,"1,310.60"
03-01-06,"1,294.80"
02-01-06,"1,280.70"
01-01-06,"1,280.10"
12-01-05,"1,248.30"
11-01-05,"1,249.50"
10-01-05,"1,207.00"
09-01-05,"1,228.80"
08-01-05,"1,220.30"
07-01-05,"1,234.20"
06-01-05,"1,191.30"
05-01-05,"1,191.50"
04-01-05,"1,156.80"
03-01-05,"1,180.60"
02-01-05,"1,203.60"
01-01-05,"1,181.30"
12-01-04,"1,211.90"
11-01-04,"1,173.80"
10-01-04,"1,130.20"
09-01-04,"1,114.60"
08-01-04,"1,104.20"
07-01-04,"1,101.70"
06-01-04,"1,140.80"
05-01-04,"1,120.70"
04-01-04,"1,107.30"
03-01-04,"1,126.20"
02-01-04,"1,144.90"
01-01-04,"1,131.10"
12-01-03,"1,111.90"
11-01-03,"1,058.20"
10-01-03,"1,050.70"
09-01-03,996
08-01-03,"1,008.00"
07-01-03,990.3
06-01-03,974.5
05-01-03,963.6
04-01-03,916.9
03-01-03,848.2
02-01-03,841.1
01-01-03,855.7
12-01-02,879.8
11-01-02,936.3
10-01-02,885.8
09-01-02,815.3
08-01-02,916.1
07-01-02,911.6
06-01-02,989.8
05-01-02,"1,067.10"
04-01-02,"1,076.90"
03-01-02,"1,147.40"
02-01-02,"1,106.70"
01-01-02,"1,130.20"
12-01-01,"1,148.10"
11-01-01,"1,139.50"
10-01-01,"1,059.80"
09-01-01,"1,040.90"
08-01-01,"1,133.60"
07-01-01,"1,211.20"
06-01-01,"1,224.40"
05-01-01,"1,255.80"
04-01-01,"1,249.50"
03-01-01,"1,160.30"
02-01-01,"1,239.90"
01-01-01,"1,366.00"
